Type Code,Type,Sub-Type Code,Sub-Type,Category ID,Relevant Style Dimensions
TP,Tops,1,Blouses,17,"Pattern, Accents, Materials, TopStyle, CollarStyle, SleeveLength"
TP,Tops,2,Cardigans,18,"Pattern, Accents, Materials, TopStyle, CollarStyle, SleeveLength"
TP,Tops,3,Sweaters,19,"Pattern, Accents, Materials, TopStyle, CollarStyle, SleeveLength"
TP,Tops,4,Sweatshirts & Hoodies,20,"Pattern, Accents, Materials, TopStyle, CollarStyle, SleeveLength"
TP,Tops,5,Tank Tops,104,"Pattern, Accents, Materials, TopStyle, CollarStyle, SleeveLength"
TP,Tops,6,T-Shirts,21,"Pattern, Accents, Materials, TopStyle, CollarStyle, SleeveLength"
TP,Tops,7,Tunics,15,"Pattern, Accents, Materials, TopStyle, CollarStyle, SleeveLength"
TP,Tops,0,Other Tops,11,"Pattern, Accents, Materials, TopStyle, CollarStyle, SleeveLength"
SH,Shoes,1,Athletic Shoes,268,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,2,Boots,42,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,3,Ankle Booties,261,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,4,Mid Calf Booties,262,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,5,Knee High Boots,263,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,6,Over The Knee Boots,264,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,7,Clogs,47,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,8,Flats,267,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,9,Loafers & Moccasins,265,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,A,Oxfords,266,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,B,Pumps,43,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,C,Sandals,46,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,D,Flip Flops,48,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,E,Sneakers,49,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
SH,Shoes,0,Other Shoes,41,"Pattern, Accents, Materials, ShoeStyle, HeelStyle, Occasion"
BG,Bags,1,Backpacks,259,"Pattern, Accents, Materials, Closures, StraporHandleStyle, Occasion"
BG,Bags,2,Handbags,318,"HandbagStyles,Pattern, Accents, Materials, Closures, StraporHandleStyle, Occasion"
BG,Bags,3,Clutches,38,"HandbagStyles,Pattern, Accents, Materials, Closures, StraporHandleStyle, Occasion"
BG,Bags,4,Shoulder,37,"HandbagStyles,Pattern, Accents, Materials, Closures, StraporHandleStyle, Occasion"
BG,Bags,5,Totes,36,"HandbagStyles,Pattern, Accents, Materials, Closures, StraporHandleStyle, Occasion"
BG,Bags,6,Messenger Bags,258,"Pattern, Accents, Materials, Closures, StraporHandleStyle, Occasion"
BG,Bags,7,Wallets,40,"Pattern, Accents, Materials, Closures, StraporHandleStyle, Occasion"
BG,Bags,0,Other Bags,35,"Pattern, Accents, Materials, Closures, StraporHandleStyle, Occasion"
DR,Dresses,1,Day Dresses,4,"Pattern, Accents, Materials, DressStyle, SleeveLength, Occasion, SkirtStyle, SkirtLength, CollarStyle"
DR,Dresses,2,Coctail Dresses,5,"Pattern, Accents, Materials, DressStyle, SleeveLength, Occasion, SkirtStyle, SkirtLength, CollarStyle"
DR,Dresses,3,Gowns,6,"Pattern, Accents, Materials, DressStyle, SleeveLength, Occasion, SkirtStyle, SkirtLength, CollarStyle"
